home,away,home_code,away_code,home_last_wins,home_last_draws,home_last_loses,away_last_wins,away_last_draws,away_last_loses,GF,GA
Coventry,Arsenal,15,0,0,0,0,0,0,0,3,0
QPR,Aston Villa,34,1,0,0,0,0,0,0,1,4
Chelsea,Blackburn,14,4,0,0,0,0,0,0,1,2
Blackburn,Chelsea,4,14,0,0,0,0,0,0,2,1
Arsenal,Coventry,0,15,0,0,0,0,0,0,0,3
Southampton,Everton,38,18,0,0,0,0,0,0,0,2
Oldham,Ipswich,32,22,0,0,0,0,0,0,0,3
Man City,Leeds,26,23,0,0,0,0,0,0,1,1
Sheffield Weds,Liverpool,37,25,0,0,0,0,0,0,0,2
Leeds,Man City,23,26,0,0,0,0,0,0,1,1
Tottenham,Newcastle,43,29,0,0,0,0,0,0,1,0
Ipswich,Oldham,22,32,0,0,0,0,0,0,3,0
Aston Villa,QPR,1,34,0,0,0,0,0,0,4,1
Swindon,Sheffield United,42,36,0,0,0,0,0,0,1,3
Liverpool,Sheffield Weds,25,37,0,0,0,0,0,0,2,0
Everton,Southampton,18,38,0,0,0,0,0,0,2,0
Sheffield United,Swindon,36,42,0,0,0,0,0,0,3,1
Newcastle,Tottenham,29,43,0,0,0,0,0,0,0,1
Wimbledon,West Ham,48,46,0,0,0,0,0,0,2,0
West Ham,Wimbledon,46,48,0,0,0,0,0,0,0,2
Norwich,Man United,30,27,0,0,0,0,0,0,0,2
Man United,Norwich,27,30,0,0,0,0,0,0,2,0
Tottenham,Arsenal,43,0,1,0,0,1,0,0,0,1
Arsenal,Tottenham,0,43,0,0,1,0,0,1,1,0
Wimbledon,Chelsea,48,14,1,0,0,1,0,0,1,1
Man City,Everton,26,18,0,1,0,0,0,1,0,1
Southampton,Ipswich,38,22,0,0,1,0,0,1,0,1
West Ham,Leeds,46,23,0,0,1,0,1,0,0,1
Everton,Man City,18,26,1,0,0,0,1,0,1,0
Ipswich,Southampton,22,38,1,0,0,1,0,0,1,0
Leeds,West Ham,23,46,0,1,0,1,0,0,1,0
Chelsea,Wimbledon,14,48,0,0,1,0,0,1,1,1
Sheffield Weds,Aston Villa,37,1,0,0,1,0,0,1,0,0
Norwich,Blackburn,30,4,0,0,1,0,0,1,3,2
Newcastle,Coventry,29,15,0,0,1,0,0,1,1,2
QPR,Liverpool,34,25,0,0,1,0,0,1,1,3
Sheffield United,Man United,36,27,1,0,0,0,0,1,0,3
Coventry,Newcastle,15,29,1,0,0,1,0,0,2,1
Blackburn,Norwich,4,30,1,0,0,1,0,0,2,3
Swindon,Oldham,42,32,0,0,1,1,0,0,0,1
Liverpool,QPR,25,34,1,0,0,1,0,0,3,1
Man United,Sheffield United,27,36,1,0,0,0,0,1,3,0
Aston Villa,Sheffield Weds,1,37,1,0,0,1,0,0,0,0
Oldham,Swindon,32,42,0,0,1,1,0,0,1,0
Sheffield Weds,Arsenal,37,0,0,1,1,1,0,1,0,1
Wimbledon,Aston Villa,48,1,1,1,0,0,1,1,2,2
Oldham,Blackburn,32,4,1,0,1,1,0,1,0,1
Ipswich,Chelsea,22,14,2,0,0,1,1,0,1,0
West Ham,Coventry,46,15,0,0,2,0,0,2,1,1
Sheffield United,Everton,36,18,1,0,1,0,0,2,2,4
Chelsea,Ipswich,14,22,0,1,1,0,0,2,0,1
Norwich,Leeds,30,23,1,0,1,0,1,1,4,0
Tottenham,Man City,43,26,1,0,1,1,1,0,1,0
Newcastle,Man United,29,27,0,0,2,0,0,2,1,1
Man United,Newcastle,27,29,2,0,0,2,0,0,1,1
Leeds,Norwich,23,30,1,1,0,1,0,1,0,4
Blackburn,Oldham,4,32,1,0,1,1,0,1,1,0
Southampton,QPR,38,34,0,0,2,2,0,0,1,2
Everton,Sheffield United,18,36,2,0,0,1,0,1,4,2
Arsenal,Sheffield Weds,0,37,1,0,1,1,1,0,1,0
QPR,Southampton,34,38,0,0,2,2,0,0,2,1
