Season,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
1993-94,1993-08-14T00:00:00Z,Arsenal,Coventry,0,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-14T00:00:00Z,Aston Villa,QPR,4,1,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-14T00:00:00Z,Chelsea,Blackburn,1,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-14T00:00:00Z,Liverpool,Sheffield Weds,2,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-14T00:00:00Z,Man City,Leeds,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-14T00:00:00Z,Newcastle,Tottenham,0,1,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-14T00:00:00Z,Oldham,Ipswich,0,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-14T00:00:00Z,Sheffield United,Swindon,3,1,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-14T00:00:00Z,Southampton,Everton,0,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-14T00:00:00Z,West Ham,Wimbledon,0,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-15T00:00:00Z,Norwich,Man United,0,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-16T00:00:00Z,Tottenham,Arsenal,0,1,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-17T00:00:00Z,Everton,Man City,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-17T00:00:00Z,Ipswich,Southampton,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
